Time,Force
12.0345,0.125176973437744
12.03525,0.124896755047953
12.036,0.124756755737088
12.03675,0.12447675711537
12.0375,0.124266758149118
12.03825,0.12405653967894
12.039,0.123776541053846
12.03975,0.12356654208506
12.0405,0.123286324224547
12.04125,0.123006325596091
12.042,0.122726108003266
12.04275,0.122516109029378
12.0435,0.1221658920463
12.04425,0.121885893411067
12.045,0.121605676353679
12.04575,0.12125545990694
12.0465,0.120975461264907
12.04725,0.120625245084239
12.048,0.120345028835272
12.04875,0.120064812857533
12.0495,0.1197145974871
12.05025,0.11929438272146
12.051,0.119014384062466
12.05175,0.118664169226907
12.0525,0.118313954660928
12.05325,0.117963740364548
12.054,0.117543742360903
12.05475,0.117263527997185
12.0555,0.116843314566885
12.05625,0.116493316222159
12.057,0.116143102725403
12.05775,0.115722889827712
12.0585,0.115372676869491
12.05925,0.115022678512225
12.06,0.114672465819515
12.06075,0.114252253723403
12.0615,0.113902041569328
12.06225,0.113481830010214
12.063,0.113201618070465
12.06375,0.112781620016755
12.0645,0.112431408667002
12.06525,0.112081197587069
12.066,0.111661199523458
12.06675,0.111380988386457
12.0675,0.110960778163124
12.06825,0.110680779447452
12.069,0.110260569489027
12.06975,0.109980570770087
12.0705,0.109630360757151
12.07125,0.109280151014126
12.072,0.108999941223245
12.07275,0.10864973202091
12.0735,0.108439732971805
12.07425,0.108159523720814
12.075,0.107949314426141
12.07575,0.107809105090274
12.0765,0.107599106033735
12.07725,0.107458896970342
12.078,0.107248688494749
12.07875,0.107108689120426
12.0795,0.106968480604489
12.08025,0.106898272052346
12.081,0.106828272363533
12.08175,0.106758272674724
12.0825,0.10668806439757
12.08325,0.10668806439757
12.084,0.106618064707941
12.08475,0.106617856397069
12.0855,0.106617856397069
12.08625,0.106617648364496
12.087,0.106757647747073
12.08775,0.106757647747073
12.0885,0.106897439378695
12.08925,0.107037438762946
12.09,0.107177230677834
12.09075,0.107317230063756
12.0915,0.107457229449683
12.09225,0.1076672285286
12.093,0.107807020730883
12.09375,0.108087019506121
12.0945,0.108227018893749
12.09525,0.108506810771885
12.096,0.108716809855846
12.09675,0.108926808939837
12.0975,0.109276600803345
12.09825,0.109486599889847
12.099,0.109836392042376
12.09975,0.110116390827747
12.1005,0.110466183270104
12.10125,0.110745976300949
12.102,0.111095974791011
12.10275,0.111445767809638
12.1035,0.111725561415042
12.10425,0.112145354706227
12.105,0.112425148882818
12.10575,0.112844942748457
12.1065,0.113124737496184
12.10725,0.11347473601106
12.108,0.113824530751402
12.10875,0.114174325778087
12.1095,0.1145241210911
12.11025,0.114804119912892
12.111,0.115223915221745
12.11175,0.115503711404339
12.1125,0.11592370964691
12.11325,0.116203506119018
12.114,0.116623302293207
12.11475,0.11690330112815
12.1155,0.117253097883902
12.11625,0.117673096141274
12.117,0.117952893477723
12.11775,0.118302892029639
12.1185,0.118652689365892
12.11925,0.119002687921922
12.12,0.119282485836358
12.12075,0.119632484396485
12.1215,0.119912282599475
12.12225,0.120262281163693
12.123,0.120542280015111
12.12375,0.12082227886656
12.1245,0.121172277430925
12.12525,0.121452075932903
12.126,0.121732275134022
12.12675,0.122012273985626
